證券代碼,年月日,收盤價(元),流通在外股數(千股),成交量(千股)
1108 幸福,2017/04/26,9.73,"404,738",60
1109 信大,2017/04/26,10.2,"378,900",29
1110 東泥,2017/04/26,16.35,"572,000",143
1201 味全,2017/04/26,18.05,"506,062",213
1203 味王,2017/04/26,23.95,"240,000",33
1210 大成,2017/04/26,29.2,"736,394","2,703"
1213 大飲,2017/04/26,17.5,"56,622",17
1215 卜蜂,2017/04/26,55.9,"267,990",839
1216 統一,2017/04/26,56.3,"5,682,015","7,174"
1217 愛之味,2017/04/26,7.59,"494,513",997
1218 泰山,2017/04/26,15.05,"353,336",278
1219 福壽,2017/04/26,16.35,"318,825","1,158"
1220 台榮,2017/04/26,10.9,"177,077",78
1225 福懋油,2017/04/26,49.8,"218,703",8
1227 佳格,2017/04/26,75.1,"879,893",805
1229 聯華,2017/04/26,27,"910,937","1,655"
1231 聯華食,2017/04/26,35.3,"153,000",238
1232 大統益,2017/04/26,92.6,"159,974",91
1233 天仁,2017/04/26,37,"90,591",6
1234 黑松,2017/04/26,32.85,"401,871",72
1235 興泰,2017/04/26,27.35,"60,662",21
1236 宏亞,2017/04/26,17.65,"108,342",24
1256 鮮活果汁-KY,2017/04/26,140,"27,165",24
1258 其祥-KY,2017/04/26,35.6,"36,399",22
12581 其祥一KY,2017/04/26,104.7,"1,582",8
1259 安心,2017/04/26,77.7,"32,389",5
1260 富味鄉,2017/04/26,28,"80,837",73
1262 綠悅-KY,2017/04/26,142.5,"148,500","9,120"
1264 德麥,2017/04/26,244,"30,632",62
1268 漢來美食,2017/04/26,168,"33,663",5
1269 乾杯,2017/04/26,92.01,"17,352",1
1301 台塑,2017/04/26,92,"6,365,740","10,615"
1303 南亞,2017/04/26,73.1,"7,930,821","12,865"
1304 台聚,2017/04/26,15.35,"1,142,602","1,261"
1305 華夏,2017/04/26,27.25,"477,669","3,616"
1307 三芳,2017/04/26,37.1,"397,818",62
1308 亞聚,2017/04/26,18.75,"503,023",534
1309 台達化,2017/04/26,9.44,"327,651",318
1310 台苯,2017/04/26,23.15,"527,869","2,397"
1312 國喬,2017/04/26,19.65,"906,620","5,716"
1312A 國喬特,2017/04/26,27,"20,000",2
1313 聯成,2017/04/26,13.1,"1,171,236","1,028"
1314 中石化,2017/04/26,11.5,"2,355,258","10,035"
1315 達新,2017/04/26,25.9,"198,000",4
1316 上曜,2017/04/26,23.9,"117,239",537
13162 上曜二,2017/04/26,153,"1,759",0
1319 東陽,2017/04/26,50.5,"591,477",974
1321 大洋,2017/04/26,25,"227,228",302
1323 永裕,2017/04/26,33.45,"91,274",62
1324 地球,2017/04/26,12.25,"75,121",71
1325 恒大,2017/04/26,21.25,"85,281",11
1326 台化,2017/04/26,92,"5,861,186","14,601"
1333 恩得利,2017/04/26,4.23,"61,515",74
1336 台翰,2017/04/26,12.05,"62,753",130
13361 台翰一,2017/04/26,103.45,"3,500",0
1337 再生-KY,2017/04/26,14.8,"265,368",814
1338 廣華-KY,2017/04/26,99.1,"83,840",318
1339 昭輝,2017/04/26,41.7,"74,138",228
1340 勝悅-KY,2017/04/26,50.2,"114,893",306
1402 遠東新,2017/04/26,25.75,"5,352,875","3,235"
1409 新纖,2017/04/26,9.19,"1,618,409",489
1410 南染,2017/04/26,25.05,"72,000",106
1413 宏洲,2017/04/26,6.04,"132,112",61
1414 東和,2017/04/26,6.16,"220,000",104
1416 廣豐,2017/04/26,27.95,"205,935",199
1417 嘉裕,2017/04/26,5.23,"379,883",378
1418 東華,2017/04/26,7.24,"131,927",108
1419 新紡,2017/04/26,41.9,"300,041",8
1423 利華,2017/04/26,6.77,"173,000",189
1432 大魯閣,2017/04/26,14.65,"171,437",121
14321 大魯閣一,2017/04/26,105,"2,184",0
14322 大魯閣二,2017/04/26,101.65,"1,319",19
1434 福懋,2017/04/26,31.5,"1,684,664","1,234"
1435 中福,2017/04/26,5.58,"139,780",111
1436 華友聯,2017/04/26,38.65,"75,900",20
1437 勤益控,2017/04/26,17.45,"196,989",48
1438 裕豐,2017/04/26,4.9,"102,411",35
1439 中和,2017/04/26,19.6,"92,000",212
1440 南紡,2017/04/26,14,"1,656,815",599
1441 大東,2017/04/26,9.73,"62,112",462
1442 名軒,2017/04/26,20.05,"268,925",69
14423 名軒三,2017/04/26,126,"7,914",0
1443 立益,2017/04/26,5.8,"135,343",184
1444 力麗,2017/04/26,8.45,"957,302",646
1445 大宇,2017/04/26,8.99,"138,667",28
1446 宏和,2017/04/26,24.5,"137,709",227
1447 力鵬,2017/04/26,8.04,"914,487","1,349"
1449 佳和,2017/04/26,5.19,"120,000",31
1451 年興,2017/04/26,26.75,"400,000",522
1452 宏益,2017/04/26,22.1,"132,641",972
1453 大將,2017/04/26,7.9,"89,674",18
1454 台富,2017/04/26,8.51,"140,309",63
1455 集盛,2017/04/26,9.44,"611,763","1,975"
1456 怡華,2017/04/26,11.3,"93,720",72
1457 宜進,2017/04/26,10.4,"301,647",346
1459 聯發,2017/04/26,7.8,"358,628",147
1460 宏遠,2017/04/26,16.55,"471,189",645
1463 強盛,2017/04/26,27.15,"173,268","1,476"
1464 得力,2017/04/26,28.2,"277,681",912
1465 偉全,2017/04/26,12.95,"103,607",137
1466 聚隆,2017/04/26,11.3,"111,157",25
14662 聚隆二,2017/04/26,104,527,0
14663 聚隆三,2017/04/26,101.7,"4,000",0
1467 南緯,2017/04/26,10.35,"210,262",159
1468 昶和,2017/04/26,10.2,"160,405",25
1469 理隆,2017/04/26,13.7,"124,600",12
1470 大統染,2017/04/26,19.25,"85,767",9
1471 首利,2017/04/26,5.07,"201,467",275
1472 三洋紡,2017/04/26,14.7,"76,373","1,234"
1473 台南,2017/04/26,26.35,"147,148",58
1474 弘裕,2017/04/26,11.2,"129,896",230
1475 本盟,2017/04/26,15,"52,516",92
1476 儒鴻,2017/04/26,317.5,"268,987","1,103"
1477 聚陽,2017/04/26,122,"207,089",314
14774 聚陽四,2017/04/26,196,"1,447",0
1503 士電,2017/04/26,40.6,"520,972",11
1504 東元,2017/04/26,30.25,"2,002,692","2,612"
1506 正道,2017/04/26,21.85,"122,255",344
15061 正道一,2017/04/26,110,"6,999",4
1507 永大,2017/04/26,50,"410,820",510
1512 瑞利,2017/04/26,7.5,"181,802","1,440"
1513 中興電,2017/04/26,19.3,"420,000",696
1514 亞力,2017/04/26,10.6,"201,067","1,491"
1515 力山,2017/04/26,21.3,"181,473","3,790"
1516 川飛,2017/04/26,18.35,"29,304",24
1517 利奇,2017/04/26,10.85,"227,825",442
1519 華城,2017/04/26,17.3,"261,058",198
1521 大億,2017/04/26,81.1,"76,230",59
1522 堤維西,2017/04/26,31.25,"312,897","1,003"
1524 耿鼎,2017/04/26,12,"179,685",520
1525 江申,2017/04/26,106,"73,400",42
1526 日馳,2017/04/26,17.7,"50,000",623
1527 鑽全,2017/04/26,90.1,"137,960",334
1528 恩德,2017/04/26,10.85,"180,000",400
1529 樂士,2017/04/26,3.61,"599,708",40
1530 亞崴,2017/04/26,31.85,"96,594",31
15302 亞崴二,2017/04/26,101.45,"4,000",0
1531 高林股,2017/04/26,17.9,"193,151",65
